Reset to IC #1
000915.5 sec, Malfunction # 1 Fraction = 05.0 %
1195.5 sec, Scram Lo RX Press132.0 bar
1196.0 sec, Reactor Scram
001196.5 sec, Malfunction # 9 Fraction = 00.0 %
001206.0 sec, HPI Pump #1 Position Change: 100%
001206.0 sec, HPI Pump #2 Position Change: 100%
001206.0 sec, HPI Pump #3 Position Change: 100%
001206.0 sec, Ctmt Vent Valve #1 Position Change: 0%
001457.5 sec, RBS Pump #1 Position Change: 100%
001457.5 sec, RBS Pump #2 Position Change: 100%
001457.5 sec, Ctmt Spray Starts 1.3 bar
