source_folder,source_file,target_directory,target_file,file_size_bytes,source_sha256,target_sha256,checksum_match
N1,case1.mdb,NORM_80_to_100,case1.mdb,7630848,c63bd88c3593e2d06844874def3b671816220d5f2aeded5fe4dbb6dcdc174730,c63bd88c3593e2d06844874def3b671816220d5f2aeded5fe4dbb6dcdc174730,true
N1,case1.txt,NORM_80_to_100,case1.txt,18,7efe39ce51d14b038ef78bf85706607535ac563994a1a9cb5675b1a17f228225,7efe39ce51d14b038ef78bf85706607535ac563994a1a9cb5675b1a17f228225,true
N1,case1dose.mdb,NORM_80_to_100,case1dose.mdb,1241088,852d68a1b578bbf4d27c7acce3712b8b7f962bc1fdf49b3d7676f38772448fc3,852d68a1b578bbf4d27c7acce3712b8b7f962bc1fdf49b3d7676f38772448fc3,true
N2,case2.mdb,NORM_100_to_80,case1.mdb,7630848,bd457b93dd5af07d767901723dcfbef6a46d5fabab8538c6c850fd5f41eaeb0b,bd457b93dd5af07d767901723dcfbef6a46d5fabab8538c6c850fd5f41eaeb0b,true
N2,case2.txt,NORM_100_to_80,case1.txt,16,2cdfb20d618c107720807cf8df75295f3d95d6364db150e4eec49a5e748b2afa,2cdfb20d618c107720807cf8df75295f3d95d6364db150e4eec49a5e748b2afa,true
N2,case2dose.mdb,NORM_100_to_80,case1dose.mdb,1241088,07da2e36a4f271696d8bec7fb56e40417ce6f1297cfcff42d34848a07006a5d6,07da2e36a4f271696d8bec7fb56e40417ce6f1297cfcff42d34848a07006a5d6,true
N3,case3.mdb,NORM_70_to_90,case1.mdb,7630848,9bcd09e1e4191741538a18f3f28acdfc7682e9b2dcd8d66ed891477c6fef29aa,9bcd09e1e4191741538a18f3f28acdfc7682e9b2dcd8d66ed891477c6fef29aa,true
N3,case3.txt,NORM_70_to_90,case1.txt,18,b95afe71a7c9bdb65d46bda3121aafd07ae2452f44a586b8abfb47461731882b,b95afe71a7c9bdb65d46bda3121aafd07ae2452f44a586b8abfb47461731882b,true
N3,case3dose.mdb,NORM_70_to_90,case1dose.mdb,1241088,7f4ddee758cd1ca2e3092e48526bcafdc0bfcef06fef9e622be0e4a0d6226ba8,7f4ddee758cd1ca2e3092e48526bcafdc0bfcef06fef9e622be0e4a0d6226ba8,true
N4,case4.mdb,NORM_90_to_70,case1.mdb,7630848,f0c37dc9c55438d960492a56c5c31d89550b915c9a99adba265ace7822c1485c,f0c37dc9c55438d960492a56c5c31d89550b915c9a99adba265ace7822c1485c,true
N4,case4.txt,NORM_90_to_70,case1.txt,18,d960723cbd01dd2b72437df5fd26c5334d8dfac525cd1ef50bb8e125ace58ded,d960723cbd01dd2b72437df5fd26c5334d8dfac525cd1ef50bb8e125ace58ded,true
N4,case4dose.mdb,NORM_90_to_70,case1dose.mdb,1241088,71e7506898a687393d196baa029669f9e317a5c3bd9e23814b80d8f4d9782a19,71e7506898a687393d196baa029669f9e317a5c3bd9e23814b80d8f4d9782a19,true
N5,case5.mdb,LOCA_80_to_100,case1.mdb,7630848,d9187380e608354dd1442bfcfee5bcb37fe1db429a0f7498e87ed51f8ed29b73,d9187380e608354dd1442bfcfee5bcb37fe1db429a0f7498e87ed51f8ed29b73,true
N5,case5.txt,LOCA_80_to_100,case1.txt,523,423f567ec5e6ddd1affd71f73c0073a6bb671ca8da23f738e01dce12e1d7991f,423f567ec5e6ddd1affd71f73c0073a6bb671ca8da23f738e01dce12e1d7991f,true
N5,case5dose.mdb,LOCA_80_to_100,case1dose.mdb,1241088,37a8f0dfcabfdb39f9e0bd4a7ee409d326a9fb970b454f0711585b041809f6a7,37a8f0dfcabfdb39f9e0bd4a7ee409d326a9fb970b454f0711585b041809f6a7,true
N6,case6.mdb,RW_80_to_100,case1.mdb,7630848,ab92f5d1f252a0f32ab4cd935fca9790182387edabb73732f09febd764fcd6a0,ab92f5d1f252a0f32ab4cd935fca9790182387edabb73732f09febd764fcd6a0,true
N6,case6.txt,RW_80_to_100,case1.txt,183,6f94814f510e0346e027b56b2e24b50a391335b16d9dd2b35f8a1bfa221f2343,6f94814f510e0346e027b56b2e24b50a391335b16d9dd2b35f8a1bfa221f2343,true
